sex,year,age,pop,pcnt
Female,2065,85-89,96902,0.00939165524555764
Female,2065,90-94,54242,0.005257086167772982
Female,2065,95-99,20932,0.0020287107345566915
Female,2065,100+,5004,4.849832082802257e-4
Female,2070,0-4,329027,0.03145801579120169
Female,2070,5-9,330528,0.031601525234811474
Female,2070,10-14,332031,0.031745225896867096
Female,2070,15-19,333365,0.03187276860024847
Female,2070,20-24,333327,0.03186913544977733
Female,2070,25-29,331775,0.031720749935798404
Female,2070,30-34,328170,0.03137607868715534
Female,2070,35-39,323682,0.030946984494669882
Female,2070,40-44,318393,0.030441307314621843
Female,2070,45-49,313823,0.03000437316585657
Female,2070,50-54,308965,0.029539903560889022
Female,2070,55-59,297841,0.02847634656507613
Female,2070,60-64,278509,0.02662802906749839
Female,2070,65-69,253189,0.02420720354304834
Female,2070,70-74,229754,0.021966601403811098
Female,2070,75-79,202887,0.01939786841149674
Female,2070,80-84,170156,0.01626848293595272
Female,2070,85-89,108207,0.010345587184998683
Female,2070,90-94,56617,0.005413107374320243
Female,2070,95-99,23498,0.002246625520281489
Female,2070,100+,6213,5.940201020303383e-4
Female,2075,0-4,326366,0.030855360169389372
Female,2075,5-9,328052,0.031014758321297322
Female,2075,10-14,329953,0.031194483046550595
Female,2075,15-19,331436,0.0313346891315325
Female,2075,20-24,332615,0.03144615438722614
Female,2075,25-29,332533,0.031438401926694434
Female,2075,30-34,330750,0.03126983318123069
Female,2075,35-39,326661,0.030883250118863184
Female,2075,40-44,321544,0.030399477673244565
Female,2075,45-49,315554,0.02983316988562379
Female,2075,50-54,309897,0.02929834465113786
Female,2075,55-59,303383,0.028682496749875466
Female,2075,60-64,289711,0.027389915769516323
Female,2075,65-69,266358,0.025182071735408144
Female,2075,70-74,235337,0.022249278099384085
Female,2075,75-79,203903,0.01927743853409669
Female,2075,80-84,166626,0.015753188884824625
Female,2075,85-89,122915,0.011620654710418654
Female,2075,90-94,63931,0.006044177490882114
Female,2075,95-99,24920,0.002355991664025
Female,2075,100+,7282,6.88456312095909e-4
Female,2080,0-4,323319,0.03029058704823256
Female,2080,5-9,325476,0.03049266857224766
Female,2080,10-14,327520,0.03068416353519938
Female,2080,15-19,329396,0.030859919186127672
Female,2080,20-24,330738,0.03098564630955292
Female,2080,25-29,331881,0.031092729843140893
Female,2080,30-34,331576,0.031064155496907882
Female,2080,35-39,329314,0.03085223690287814
Female,2080,40-44,324603,0.030410880361554482
Female,2080,45-49,318794,0.029866656173791983
Female,2080,50-54,311753,0.02920701036452434
Female,2080,55-59,304504,0.028527877787989594
Female,2080,60-64,295463,0.02768085921653827
Female,2080,65-69,277658,0.02601277320119806
Female,2080,70-74,248293,0.023261672620436186
Female,2080,75-79,209481,0.019625516797499697
Female,2080,80-84,168139,0.015752334430400857
Female,2080,85-89,121220,0.011356663115952823
Female,2080,90-94,73643,0.0068993461627463604
Female,2080,95-99,28622,0.0026814915996106396
Female,2080,100+,8024,7.517395218809228e-4
Female,2085,0-4,319308,0.029701235198123576
Female,2085,5-9,322502,0.029998333126214343
Female,2085,10-14,324981,0.030228923534397503
Female,2085,15-19,326998,0.03041653985279421
Female,2085,20-24,328746,0.030579134460903996
Female,2085,25-29,330061,0.030701452487027776
Female,2085,30-34,330987,0.030787586701621406
Female,2085,35-39,330216,0.030715870201133623
Female,2085,40-44,327339,0.030448258823827068
Female,2085,45-49,321947,0.029946708407964383
Female,2085,50-54,315112,0.029310933724651798
Female,2085,55-59,306532,0.028512843485760508
Female,2085,60-64,296846,0.027611875880410735
Female,2085,65-69,283663,0.026385626041331028
Female,2085,70-74,259602,0.024147531724552085
Female,2085,75-79,221913,0.0206417947765831
Female,2085,80-84,173466,0.016135375452158117
Female,2085,85-89,123098,0.011450269490331016
Female,2085,90-94,73467,0.006833717433639448
Female,2085,95-99,33631,0.003128271890926923
Female,2085,100+,9300,8.650628463506998e-4
Female,2090,0-4,314698,0.029112044618400373
Female,2090,5-9,318561,0.02946940255636274
Female,2090,10-14,322043,0.029791514992289467
Female,2090,15-19,324491,0.03001797428095938
Female,2090,20-24,326393,0.030193924267499485
Female,2090,25-29,328125,0.030354147914548622
Female,2090,30-34,329233,0.030456646644877978
Female,2090,35-39,329704,0.03050021785605589
Female,2090,40-44,328331,0.0303732045376965
Female,2090,45-49,324785,0.030045171597490816
Female,2090,50-54,318395,0.029454046248389206
Female,2090,55-59,310061,0.02868308558181443
Female,2090,60-64,299121,0.02767104938163108
Female,2090,65-69,285405,0.02640221130834819
Female,2090,70-74,265890,0.024596920042664634
Female,2090,75-79,233025,0.021556648587543446
Female,2090,80-84,184863,0.017101284101873376
